员工ID,员工姓名,员工性别,员工电话,员工邮箱,员工状态,员工职位,员工部门,员工入职时间,员工离职时间,备注
4749,李建国,男,13736710045,guiying00@example.net,在职,市场经理,市场部,2017-08-02,,
4750,罗凤兰,男,13135213504,shaoxiuying@example.com,在职,测试工程师,技术部,2016-05-20,,
4751,张玲,男,15046167358,liulei@example.org,在职,HR专员,人事部,2016-08-29,,点击不断这些最后游戏关系.
4752,崔敏,女,15714101271,ahan@example.com,离职,前端工程师,技术部,2014-11-20,2015-12-11,开始成功有关资料.
4753,毕秀华,男,13138713863,chao61@example.net,在职,HR专员,人事部,2019-12-04,,
4754,钟浩,女,18220267760,wanyang@example.com,在职,HR专员,人事部,2018-09-04,,
4755,徐凯,女,14750856344,kangjuan@example.net,离职,HR专员,人事部,2015-08-07,2015-11-23,
4756,林玉兰,女,15035562953,jintao@example.org,在职,人事经理,人事部,2015-12-15,,
4757,刘楠,男,15783946327,jingmao@example.net,离职,测试工程师,技术部,2015-03-17,2017-06-10,
4758,彭秀云,女,15960203354,li91@example.org,在职,出纳,财务部,2017-12-06,,
4759,丁勇,女,18990339816,xiasong@example.org,在职,HR专员,人事部,2020-05-08,,
4760,乔雪,男,13614828983,yangma@example.com,在职,市场经理,市场部,2015-10-12,,
4761,周春梅,男,15964687067,lixiong@example.com,在职,HR专员,人事部,2016-08-20,,
4762,吴晨,男,15997895630,kongwei@example.org,在职,后端工程师,技术部,2015-12-02,,
4763,张俊,女,15693217341,xiulanli@example.com,离职,会计,财务部,2017-09-10,2018-03-09,
4764,王桂芳,男,18807936991,wei30@example.org,在职,市场专员,市场部,2017-11-27,,不过只要发布目前.
4765,何敏,女,15387897591,qiangluo@example.org,在职,出纳,财务部,2020-07-07,,
4766,阎秀梅,男,18050029502,wanchao@example.net,在职,HR专员,人事部,2015-02-04,,男人一切可以介绍新闻.
4767,鲍淑华,女,14577326393,lei17@example.com,在职,市场经理,市场部,2018-02-08,,
4768,韩秀珍,男,15695984686,qjia@example.net,在职,会计,财务部,2017-11-13,,
4769,李杨,男,15759350048,jie16@example.org,在职,人事经理,人事部,2014-08-29,,
4770,陈晨,男,13867041069,lishi@example.org,在职,会计,财务部,2015-12-03,,
4771,徐秀华,男,14563154025,vwang@example.net,在职,销售经理,销售部,2018-10-24,,
4772,郭欣,女,15868947799,gang66@example.com,在职,后端工程师,技术部,2015-07-01,,
4773,褚慧,男,13321301713,tanlei@example.org,在职,市场经理,市场部,2015-02-13,,
4774,刘志强,男,13580773527,hcui@example.com,在职,财务主管,财务部,2018-09-14,,非常不断提高一种都是.
4775,王帅,女,18210550002,tao35@example.org,离职,出纳,财务部,2017-03-09,2017-10-15,问题其中之间还有报告发表公司是否.
4776,黄军,女,15725213265,fyu@example.org,在职,出纳,财务部,2013-09-12,,
4777,黄红,女,15689761479,gwan@example.net,在职,人事经理,人事部,2015-05-08,,
4778,尹瑜,女,13031083014,zliu@example.com,在职,市场专员,市场部,2015-09-01,,本站程序今天都是一点.
4779,白玲,女,13037341272,gaoxiulan@example.org,离职,前端工程师,技术部,2019-06-20,2020-06-22,公司环境程序之间大小.
4780,范畅,女,15560717476,hliu@example.com,在职,销售代表,销售部,2019-11-08,,得到公司一种相关主要音乐教育.
4781,梁利,男,15528772219,sutao@example.com,离职,HR专员,人事部,2020-08-30,2020-09-22,
4782,曹璐,女,13425935730,taopeng@example.net,在职,市场经理,市场部,2019-01-04,,
4783,郝秀华,男,15251466891,pingmeng@example.net,在职,销售经理,销售部,2017-02-19,,学生加入一些本站规定.
4784,孙亮,女,13637827150,weiding@example.net,离职,前端工程师,技术部,2019-08-29,2020-11-10,
4785,纪林,女,18577843394,qiangpeng@example.net,离职,出纳,财务部,2016-09-29,2018-06-04,没有相关国际法律.
4786,潘秀荣,女,13171086475,ema@example.org,在职,前端工程师,技术部,2020-01-26,,
4787,张坤,男,18029594252,junyang@example.org,离职,市场专员,市场部,2019-06-22,2020-06-05,
4788,吕帅,男,18585403367,shaoqiang@example.org,离职,架构师,技术部,2019-12-19,2020-09-05,
4789,陈燕,男,18888054663,pduan@example.org,在职,会计,财务部,2018-01-14,,
4790,徐琳,男,13159175900,fang82@example.net,离职,市场专员,市场部,2016-01-19,2016-05-05,
4791,王琳,男,18765348147,liaolei@example.net,在职,后端工程师,技术部,2017-02-26,,
4792,高玲,女,14773810157,ming01@example.org,在职,财务主管,财务部,2013-06-20,,
4793,司涛,女,15959622299,mingli@example.org,离职,后端工程师,技术部,2016-09-18,2019-03-05,
4794,侯兵,女,14555279595,nhe@example.net,在职,测试工程师,技术部,2014-07-04,,环境或者发生环境结果.
4795,杨云,男,15008903033,idong@example.com,在职,出纳,财务部,2013-11-17,,
4796,金瑜,男,13043968968,lei66@example.com,在职,销售代表,销售部,2014-10-24,,感觉一起得到应用.
4797,苏明,女,14530352523,juan85@example.net,在职,人事经理,人事部,2015-02-01,,标题新闻内容教育.
4798,张平,女,13848711748,xiulan00@example.org,在职,出纳,财务部,2018-09-01,,资料操作同时威望的是等级喜欢.
4799,崔东,女,18674803757,mqin@example.org,在职,架构师,技术部,2013-11-22,,
4800,张龙,女,18043301911,zhangxiuying@example.org,在职,会计,财务部,2015-11-16,,
4801,邓亮,男,18961137522,li44@example.net,在职,测试工程师,技术部,2014-06-09,,密码喜欢一下规定等级结果.
4802,蔡超,女,15214632090,chao17@example.net,在职,财务主管,财务部,2014-04-05,,
4803,耿岩,男,18558182141,pluo@example.net,离职,市场经理,市场部,2019-03-31,2019-08-27,
4804,陈桂兰,女,15760095892,na04@example.com,在职,前端工程师,技术部,2014-10-24,,实现正在全国下载今天包括方法.
4805,任洁,女,18026309284,yong53@example.org,离职,财务主管,财务部,2016-01-15,2017-01-13,
4806,赵建军,男,13468438813,rqiu@example.org,离职,出纳,财务部,2016-05-27,2020-11-22,
4807,李芳,女,18119431502,qdong@example.org,在职,销售经理,销售部,2017-03-21,,报告中国不能名称注意的人等级谢谢.
4808,王红,女,18540010378,yongyi@example.net,在职,架构师,技术部,2017-09-30,,
4809,张淑珍,女,18241112859,minma@example.com,离职,销售代表,销售部,2020-03-05,2020-10-18,
4810,丁英,女,18287110286,qiangyang@example.org,在职,销售经理,销售部,2017-03-27,,
4811,王阳,女,18215888995,yijing@example.com,在职,销售经理,销售部,2017-10-10,,留言在线业务一些直接进行.
4812,王林,男,18006526213,leikong@example.org,在职,HR专员,人事部,2019-08-23,,
4813,刘荣,女,18094510942,jie21@example.com,在职,会计,财务部,2014-11-26,,
4814,李宁,女,15020903929,fangmeng@example.net,在职,架构师,技术部,2015-06-15,,手机正在系列制作.
4815,陈林,男,13427281010,daiping@example.org,在职,销售经理,销售部,2020-02-04,,
4816,郑慧,女,14574816689,fangdu@example.net,在职,销售经理,销售部,2014-03-04,,关系正在成为帮助根据一点作品上海.
4817,梁阳,女,15832789329,juanhu@example.org,在职,出纳,财务部,2014-06-17,,
4818,沈桂兰,男,15793893823,yongyin@example.com,在职,市场经理,市场部,2020-12-15,,
4819,钟桂荣,男,13817680461,chaochen@example.org,在职,人事经理,人事部,2017-12-01,,上海现在电脑继续为什生产其实.
4820,汤佳,男,15221346632,chenjun@example.net,在职,HR专员,人事部,2019-01-17,,
4821,吴岩,男,18267623144,ebai@example.org,在职,架构师,技术部,2017-02-25,,
4822,曾东,女,18010335899,mingzhou@example.org,在职,市场专员,市场部,2013-08-13,,
4823,黄建军,女,18764220635,taoxiao@example.com,在职,销售经理,销售部,2013-12-08,,
4824,彭红霞,女,18516273930,yongyi@example.net,离职,架构师,技术部,2015-06-10,2017-01-25,希望汽车中文专业什么不同但是.
4825,朱磊,女,18646232210,udai@example.org,在职,会计,财务部,2020-10-07,,
4826,曾雪梅,男,13886408793,jiachao@example.com,在职,前端工程师,技术部,2015-09-30,,
4827,邓丽丽,女,14533393855,zhaoxiuying@example.com,在职,人事经理,人事部,2018-06-12,,
4828,谢桂香,男,15603508791,yang03@example.org,离职,测试工程师,技术部,2015-07-11,2016-08-01,欢迎经营自己大小日本详细手机.
4829,刘雪梅,男,18958205259,jie68@example.net,在职,HR专员,人事部,2017-06-25,,之间关系图片下载.
4830,陈想,女,13612989735,li83@example.com,在职,市场专员,市场部,2020-02-05,,
4831,许建平,女,15033582478,gang91@example.net,在职,销售代表,销售部,2014-11-03,,
4832,农兵,女,15890022846,guiying02@example.org,离职,销售经理,销售部,2016-02-06,2018-05-11,信息这样表示中文只有大学文件.
4833,孙秀梅,女,18826660841,mingqian@example.com,在职,人事经理,人事部,2016-06-23,,
4834,王健,女,15982650166,liuping@example.com,离职,后端工程师,技术部,2015-08-22,2018-02-27,电话服务加入其他.
4835,彭彬,男,15339074593,bzhou@example.com,在职,销售代表,销售部,2014-07-22,,
4836,李利,男,18998043956,jing15@example.com,在职,市场专员,市场部,2014-11-12,,
4837,刘小红,女,15212964138,ylin@example.net,在职,销售经理,销售部,2015-08-31,,
4838,计淑英,男,18508396448,gfu@example.com,离职,测试工程师,技术部,2017-01-13,2019-04-17,
4839,徐雷,女,13619516711,dingjing@example.com,在职,销售经理,销售部,2019-06-17,,
4840,刘玲,男,18187192146,yonglin@example.com,在职,前端工程师,技术部,2018-10-12,,
4841,杨桂珍,男,18162964140,leimin@example.org,在职,前端工程师,技术部,2014-01-02,,非常地区用户美国.
4842,胡玲,女,15207443820,huguiying@example.com,在职,市场经理,市场部,2018-08-23,,
4843,王莉,女,13889362317,lzhou@example.org,在职,后端工程师,技术部,2020-01-31,,这样不断其他.
4844,杨芳,女,13746244673,mmeng@example.com,离职,市场专员,市场部,2020-09-03,2020-09-18,
4845,黄桂香,男,15588184939,qiangwan@example.net,在职,销售经理,销售部,2019-12-31,,
4846,吴旭,男,13002779380,rtian@example.net,在职,出纳,财务部,2018-05-07,,
4847,徐想,男,13617092264,rsun@example.net,在职,后端工程师,技术部,2013-11-22,,不要不断如此人员进入文章单位.
4848,王军,男,13513169794,pingyang@example.com,离职,HR专员,人事部,2015-05-23,2018-03-25,
4849,南雷,男,14515617162,rengang@example.org,在职,前端工程师,技术部,2014-01-21,,
4850,吕冬梅,女,18518402338,xiongqiang@example.net,在职,人事经理,人事部,2014-12-09,,作者本站知道喜欢.
4851,卢金凤,女,18298094558,ygong@example.com,在职,销售经理,销售部,2016-04-16,,地址发表规定可能来自企业加入.
4852,张丽丽,男,18296307614,fuyang@example.com,在职,市场专员,市场部,2015-08-17,,
4853,唐波,女,15108747143,gangshen@example.com,在职,销售经理,销售部,2019-07-08,,在线具有是一服务感觉的话.
4854,张桂英,女,13213982054,ksu@example.net,在职,HR专员,人事部,2020-03-09,,
4855,赵俊,女,15789679727,hanna@example.net,在职,HR专员,人事部,2020-10-15,,
4856,柳峰,男,15684571830,caimin@example.org,在职,出纳,财务部,2017-04-04,,
4857,陈红霞,男,15760091920,jie53@example.net,在职,人事经理,人事部,2015-02-11,,一起日本一些中文.
4858,张华,女,15565596207,lei58@example.net,在职,会计,财务部,2016-08-28,,
4859,王琴,男,13741163010,mingcai@example.net,在职,测试工程师,技术部,2014-12-01,,
4860,孟雷,男,18616232268,tao45@example.net,离职,出纳,财务部,2015-12-07,2017-06-30,
4861,张伟,女,18938998251,juanfan@example.net,在职,前端工程师,技术部,2019-12-14,,
4862,徐荣,女,15173545558,yongyin@example.net,在职,人事经理,人事部,2018-10-16,,
4863,张小红,女,14500628085,tao10@example.com,在职,HR专员,人事部,2020-11-19,,
4864,王玉,女,13700712651,yinjun@example.org,在职,销售经理,销售部,2020-06-22,,
4865,张成,女,13570962399,fangwang@example.net,离职,销售代表,销售部,2018-04-13,2020-07-13,
4866,吴红霞,男,15841735003,xcao@example.org,在职,人事经理,人事部,2016-02-09,,或者没有一直音乐.
4867,陈玉梅,女,18296964236,mbai@example.net,在职,HR专员,人事部,2020-04-17,,
4868,范凤英,男,15058159910,min04@example.org,离职,测试工程师,技术部,2015-03-04,2016-10-20,
4869,杨丽,女,13573762046,jie20@example.com,在职,出纳,财务部,2019-04-27,,
4870,陈林,女,13036326326,junfang@example.com,在职,销售经理,销售部,2019-06-27,,
4871,罗慧,女,14740173511,ming32@example.net,在职,HR专员,人事部,2020-06-04,,时间等级精华论坛这是.
4872,汪金凤,男,15381367765,dgong@example.net,在职,财务主管,财务部,2015-03-17,,相关因为时候说明更新.
4873,白杨,女,18549144355,gang54@example.net,在职,出纳,财务部,2016-03-08,,
4874,廖兰英,女,18249639802,yinxiuying@example.com,在职,销售代表,销售部,2020-12-12,,
4875,杜杨,男,15316800831,chao38@example.com,在职,会计,财务部,2017-03-16,,
4876,岳玲,女,14580557658,juan50@example.net,在职,人事经理,人事部,2017-03-08,,
4877,陈帆,男,15627719622,yan56@example.com,在职,HR专员,人事部,2019-10-28,,不是图片也是作品.
4878,吴荣,女,15380652843,ming79@example.net,在职,市场经理,市场部,2015-01-10,,
4879,程岩,男,13509352644,guiyingyao@example.net,在职,人事经理,人事部,2014-10-15,,
4880,邢明,男,14743549396,yulei@example.com,离职,销售代表,销售部,2020-09-15,2020-12-02,
4881,陈红,男,18752616151,qiang26@example.org,在职,测试工程师,技术部,2016-07-25,,
4882,胡凤英,男,18528112254,fanggao@example.org,在职,人事经理,人事部,2015-09-14,,
4883,陈晶,女,15694448466,yuguiying@example.org,在职,人事经理,人事部,2018-02-06,,
4884,李平,女,13300008034,tao63@example.org,离职,测试工程师,技术部,2020-07-12,2020-09-29,
4885,覃欣,女,15827164310,kongmin@example.net,在职,人事经理,人事部,2017-01-28,,
4886,张莹,女,15993981116,juanxie@example.com,在职,会计,财务部,2015-10-27,,
4887,刘慧,女,15379391360,guiying56@example.org,在职,销售代表,销售部,2016-09-16,,
4888,戴建华,男,18295529606,tanfang@example.org,在职,市场专员,市场部,2020-02-28,,最新到了原因他们生活社区.
4889,朱超,女,15364431422,na64@example.com,在职,HR专员,人事部,2014-11-10,,
4890,何华,男,13649696485,kma@example.org,在职,后端工程师,技术部,2016-04-23,,信息今年质量要求是否人员政府.
4891,曾玉华,男,13038231023,juan80@example.com,在职,测试工程师,技术部,2015-12-19,,
4892,杨静,男,15790060540,ming04@example.com,在职,市场经理,市场部,2018-09-10,,
4893,刘丽华,女,18686643724,guiying13@example.org,离职,销售经理,销售部,2015-07-19,2020-02-09,
4894,李桂香,女,15260355446,xuguiying@example.com,在职,销售代表,销售部,2013-08-10,,
4895,迟建国,男,13146711520,gangyin@example.org,在职,销售经理,销售部,2016-08-24,,而且音乐科技正在.
4896,杨建军,男,13969434761,junfu@example.net,在职,人事经理,人事部,2016-06-27,,
4897,梁超,男,13136316782,weizhong@example.com,离职,人事经理,人事部,2019-05-20,2020-01-15,
4898,张荣,女,14587058501,rzou@example.org,在职,销售代表,销售部,2015-04-26,,
4899,吴杨,男,15393019470,jie76@example.org,在职,会计,财务部,2016-01-29,,
4900,丁鹏,男,15807249049,liangyong@example.net,在职,市场专员,市场部,2017-12-31,,
4901,朱丽娟,男,15973404658,tqin@example.org,在职,市场专员,市场部,2013-11-24,,
4902,李淑珍,男,15967782340,tangang@example.com,在职,后端工程师,技术部,2014-03-12,,如果经验因此密码.
4903,陈勇,男,14768484630,qiangxu@example.com,在职,财务主管,财务部,2013-07-30,,城市责任网络看到.
4904,史娟,女,13401619793,duanwei@example.com,在职,销售代表,销售部,2019-09-08,,
4905,张桂兰,女,18200608371,liangguiying@example.com,在职,后端工程师,技术部,2017-02-11,,
4906,符淑兰,女,13301870341,houxiulan@example.net,离职,市场经理,市场部,2016-01-07,2017-09-08,
4907,杨博,女,13861815708,baiwei@example.org,在职,人事经理,人事部,2019-02-22,,文化规定中国一点作者.
4908,王莉,女,18937665806,xiuying36@example.com,在职,财务主管,财务部,2015-10-14,,
4909,龙博,女,18521202124,yongsu@example.org,离职,销售经理,销售部,2016-04-12,2020-02-03,
4910,何慧,女,15945423562,gang67@example.com,在职,测试工程师,技术部,2017-09-05,,
4911,朱凤兰,女,18761082780,sufang@example.com,在职,会计,财务部,2015-05-20,,
4912,常秀英,女,13869033323,fangqin@example.org,在职,销售代表,销售部,2014-10-13,,
4913,邓桂芳,女,13877293038,juan17@example.org,在职,前端工程师,技术部,2019-04-19,,能够开始到了开始本站更多.
4914,王芳,男,13047512189,pingfan@example.org,在职,市场经理,市场部,2013-11-18,,
4915,黄晶,男,13274016273,rhou@example.org,在职,销售代表,销售部,2014-10-16,,
4916,田强,女,14772696369,lipan@example.org,在职,后端工程师,技术部,2018-10-13,,如何他的两个价格.
4917,张超,男,14751809754,yiyang@example.net,在职,人事经理,人事部,2017-06-04,,
4918,吕波,男,18296670275,qiang23@example.com,离职,销售经理,销售部,2018-07-18,2018-12-02,
4919,王飞,男,18615262280,xiangguiying@example.com,在职,人事经理,人事部,2013-12-15,,
4920,张磊,男,15067596151,zhongna@example.net,离职,销售经理,销售部,2019-02-17,2019-08-20,结果还有首页部分学生设备.
4921,陈峰,男,15876712031,jun71@example.org,在职,市场专员,市场部,2020-04-27,,
4922,胡旭,女,18015464707,fxu@example.com,在职,会计,财务部,2017-11-16,,
4923,黄欣,男,15770748204,jiatao@example.com,在职,市场经理,市场部,2020-03-23,,成功开始组织城市无法学校的人.
4924,符东,男,15689194237,yang34@example.com,在职,架构师,技术部,2016-01-30,,
4925,莫佳,女,14720497088,yongcai@example.com,在职,人事经理,人事部,2019-05-21,,
4926,张桂珍,女,13002840566,yang22@example.com,在职,市场经理,市场部,2018-10-31,,
4927,李鹏,男,18237353506,lzheng@example.net,离职,后端工程师,技术部,2016-03-03,2018-02-14,运行服务认为质量就是回复感觉人员.
4928,傅玲,女,18162661798,longxiuying@example.org,在职,前端工程师,技术部,2015-06-09,,不会的人规定要求不是.
4929,雷雷,女,14752229721,yan72@example.net,在职,会计,财务部,2016-04-01,,进入大小文化发展一般如何学习.
4930,钱红,男,13293780715,guoxia@example.com,在职,出纳,财务部,2017-10-03,,音乐到了一直其中威望不过分析.
4931,鞠玉梅,男,13945816483,xiulanmo@example.org,离职,人事经理,人事部,2018-09-04,2020-08-22,
4932,吴龙,女,18293729904,guiying24@example.com,在职,财务主管,财务部,2017-06-13,,
4933,贺欣,男,18693607543,chaoluo@example.net,在职,销售代表,销售部,2016-06-02,,
4934,钟帅,女,15158042654,zhongxiulan@example.org,在职,后端工程师,技术部,2017-02-15,,开始希望这是通过手机方面过程.
4935,王龙,女,13748957102,li57@example.com,在职,销售代表,销售部,2019-06-25,,
4936,王玉英,男,15507495422,yan42@example.org,在职,HR专员,人事部,2014-08-09,,
4937,张桂香,女,15902181979,shichao@example.net,在职,出纳,财务部,2019-12-05,,类别这么运行语言电话发表部门.
4938,李璐,女,15781335078,weitian@example.net,在职,HR专员,人事部,2020-11-05,,国际为了首页表示安全位置.
4939,吴艳,女,13433123029,ping76@example.org,在职,会计,财务部,2017-06-01,,
4940,周秀华,男,15908160372,dingguiying@example.net,离职,会计,财务部,2019-04-06,2020-09-19,
4941,张杨,男,15866683514,nawei@example.net,在职,测试工程师,技术部,2013-07-06,,
4942,张萍,女,13529641367,jingtian@example.net,在职,架构师,技术部,2016-08-25,,
4943,赵桂兰,女,18875125855,lyan@example.org,在职,销售经理,销售部,2019-03-09,,
4944,刘秀兰,女,13037859743,wei49@example.org,在职,前端工程师,技术部,2016-10-23,,
4945,戴雷,女,13115022351,tshen@example.net,在职,销售代表,销售部,2018-03-28,,地方公司不能.
4946,林凤英,男,14579347683,naxiao@example.net,离职,市场经理,市场部,2017-07-16,2019-07-01,他的文化历史设计.
4947,颜磊,男,14546883874,fyan@example.org,在职,出纳,财务部,2016-09-08,,
4948,张桂兰,女,15028057157,jiewu@example.net,在职,销售经理,销售部,2015-07-20,,
4949,张兵,女,15311861929,tao98@example.net,在职,HR专员,人事部,2020-02-07,,中国说明东西决定参加当然报告.
4950,沈玉兰,女,18581902167,junzheng@example.net,在职,会计,财务部,2014-06-02,,
4951,汪宇,男,13273590290,fang36@example.org,在职,销售经理,销售部,2016-06-20,,
4952,杨杨,女,18769760866,rchang@example.com,在职,后端工程师,技术部,2017-10-26,,
4953,郭红梅,男,13351519138,xiulan71@example.com,在职,测试工程师,技术部,2014-05-13,,知道还是制作更新.
4954,余辉,男,13350962095,yan71@example.com,在职,测试工程师,技术部,2015-10-12,,
4955,余雪梅,男,13635746885,ping58@example.org,在职,前端工程师,技术部,2015-12-14,,
4956,李莉,男,15676025780,gtao@example.net,在职,会计,财务部,2014-08-12,,通过直接你的这种.
4957,柳秀梅,女,15972709865,fangna@example.com,在职,HR专员,人事部,2017-12-12,,
4958,戴超,女,15958587495,zwang@example.org,在职,会计,财务部,2016-06-27,,
4959,杨金凤,男,18035090972,jingtang@example.com,在职,销售经理,销售部,2016-04-12,,特别学习可是语言男人中文.
4960,曹秀梅,男,15113570098,gumin@example.org,在职,市场专员,市场部,2020-05-12,,
4961,罗雪,男,18731704993,jing75@example.com,在职,市场经理,市场部,2019-09-06,,
4962,刘云,女,15843439774,nchang@example.net,在职,销售经理,销售部,2014-05-31,,
4963,侯瑞,女,13148767195,fangliang@example.org,离职,架构师,技术部,2015-02-02,2020-02-01,
4964,马玲,男,13814863537,jing80@example.net,在职,人事经理,人事部,2018-04-10,,
4965,高春梅,男,15676038332,yantang@example.net,离职,出纳,财务部,2018-05-09,2018-08-18,经济大家看到不要方面应用法律.
4966,潘宁,男,13810039080,tao21@example.net,在职,市场专员,市场部,2014-11-14,,实现男人阅读影响增加.
4967,马瑞,男,13100543717,songyan@example.net,在职,出纳,财务部,2020-12-24,,
4968,许阳,男,13379707561,fqian@example.com,在职,测试工程师,技术部,2017-05-17,,
4969,张丽娟,男,15712032781,zhengyang@example.org,在职,销售经理,销售部,2016-10-26,,
4970,杨林,男,18069011607,uyao@example.org,离职,市场专员,市场部,2020-11-30,2020-12-02,
4971,王杨,女,18005219932,jli@example.net,在职,测试工程师,技术部,2018-07-02,,包括如何一样服务帖子出来知道.
4972,李玲,女,13194172284,songyong@example.com,在职,销售代表,销售部,2017-11-15,,
4973,罗健,女,13649527354,sujie@example.net,在职,销售经理,销售部,2015-09-06,,
4974,丁浩,女,13236575040,ming63@example.net,在职,后端工程师,技术部,2016-12-17,,
4975,郑建军,男,13533191931,ojia@example.org,在职,市场经理,市场部,2016-02-12,,
4976,高玉梅,男,13371609547,mwan@example.org,在职,会计,财务部,2017-02-14,,部门商品方式由于都是.
4977,王秀兰,男,13653655393,gwen@example.net,在职,市场专员,市场部,2014-12-01,,发表希望因为人员开发.
4978,张峰,男,14556965237,jinyong@example.org,在职,市场专员,市场部,2015-06-07,,深圳品牌汽车然后世界类别.
4979,马超,男,13701754801,qdu@example.com,在职,会计,财务部,2014-04-08,,或者空间显示包括您的作者全部.
4980,张超,男,18900974673,guiyingsong@example.net,在职,测试工程师,技术部,2015-05-29,,
4981,宁淑华,男,13538784044,weichen@example.net,在职,市场专员,市场部,2017-05-06,,公司谢谢帖子精华进入.
4982,周洋,女,18088430676,xiulan62@example.net,在职,人事经理,人事部,2014-03-14,,
4983,吴平,女,18755669997,juan33@example.net,在职,架构师,技术部,2017-02-13,,
4984,叶俊,男,13688883121,weihan@example.org,在职,财务主管,财务部,2015-02-08,,知道准备品牌这里广告你的虽然.
4985,陈桂花,女,18051825324,hshen@example.com,在职,会计,财务部,2014-01-07,,增加知道完成进行方法部门环境.
4986,李磊,男,13220707334,uhou@example.net,在职,市场专员,市场部,2015-07-30,,
4987,彭凤兰,女,13447945301,yangzhong@example.org,在职,人事经理,人事部,2015-03-20,,
4988,刘丽丽,男,15697027981,taocai@example.com,在职,市场专员,市场部,2015-04-23,,
4989,武红霞,男,15820878219,pyin@example.org,在职,市场专员,市场部,2018-09-22,,
4990,高秀梅,男,18654900790,uyuan@example.org,在职,市场经理,市场部,2019-03-31,,
4991,韩倩,女,13335029952,jun72@example.org,离职,市场经理,市场部,2018-06-27,2019-04-28,
4992,杨建华,女,18533502186,na25@example.org,在职,出纳,财务部,2018-07-28,,
4993,任霞,女,13166470686,qiugang@example.net,在职,销售代表,销售部,2014-09-06,,首页不要制作一次还是企业之间他的.
4994,李秀华,男,15889021539,guojie@example.com,在职,测试工程师,技术部,2014-04-23,,
4995,孙杰,女,18901651742,ifang@example.org,在职,会计,财务部,2020-10-17,,她的方法积分资源还是为什.
4996,王婷,女,13027563175,yanchao@example.org,在职,会计,财务部,2014-12-08,,
4997,陶兰英,男,13276413821,jieren@example.org,在职,HR专员,人事部,2018-10-01,,
4998,胡鑫,男,15305105735,lcui@example.org,在职,销售代表,销售部,2015-01-12,,
4999,吴雪,女,13025575831,jsun@example.org,在职,财务主管,财务部,2014-03-31,,
5000,杨玲,女,15791530686,nawang@example.com,离职,销售经理,销售部,2016-06-03,2020-08-12,
5001,唐芳,男,14512460298,fang64@example.org,在职,市场经理,市场部,2020-10-06,,
5002,马淑兰,女,18987743174,dchang@example.org,在职,会计,财务部,2013-09-20,,
5003,刘欢,女,15194137430,yong32@example.org,在职,人事经理,人事部,2016-03-19,,
5004,邓佳,女,14761596636,fang57@example.net,在职,销售经理,销售部,2018-02-02,,大学的人解决教育法律这些深圳.
5005,王秀云,女,13989492428,jxiang@example.com,在职,人事经理,人事部,2015-01-31,,完成比较的话帖子.
5006,伍俊,女,18127605869,gang50@example.org,在职,销售代表,销售部,2013-09-21,,
5007,魏鑫,女,14525397792,guiying27@example.net,在职,销售经理,销售部,2013-11-28,,联系美国新闻精华.
5008,陈瑜,女,18840915981,zhaojuan@example.com,在职,出纳,财务部,2014-09-06,,
5009,曲丽丽,男,18048751132,ydu@example.org,在职,测试工程师,技术部,2018-06-06,,
5010,张柳,女,18502027923,yanmo@example.net,在职,财务主管,财务部,2015-02-14,,
5011,孙雪,女,15028382412,juan34@example.org,离职,会计,财务部,2018-07-24,2020-11-23,
5012,杨秀华,女,18784293657,juanshen@example.com,在职,销售经理,销售部,2017-11-02,,
5013,曾龙,男,13473544934,ping18@example.org,在职,前端工程师,技术部,2015-08-31,,
5014,梁志强,男,13556256598,fuwei@example.net,在职,会计,财务部,2014-11-27,,
5015,李红梅,男,14580460203,chenjing@example.com,在职,出纳,财务部,2017-08-02,,
5016,刘东,女,14771160139,tduan@example.com,在职,销售经理,销售部,2018-07-18,,
5017,刘平,男,18148659323,vcai@example.net,在职,市场经理,市场部,2015-08-24,,时间通过密码必须制作.
5018,高荣,男,13736477686,xiayuan@example.net,在职,市场专员,市场部,2015-09-22,,
5019,刘宇,男,18871269105,huping@example.net,在职,测试工程师,技术部,2018-10-20,,因此状态无法.
5020,钟瑞,男,15110812050,minghou@example.com,在职,市场经理,市场部,2014-07-29,,
5021,项建华,男,14530646578,yan05@example.net,离职,市场经理,市场部,2017-01-02,2018-06-15,
5022,吴玲,女,13515671665,wei06@example.com,在职,销售经理,销售部,2017-11-05,,
5023,王涛,女,13630848391,ligang@example.net,在职,销售代表,销售部,2020-01-28,,软件表示查看怎么.
5024,刘芳,女,13654724828,nazheng@example.com,在职,架构师,技术部,2017-02-06,,那个这个全部女人信息还有.
5025,周雷,女,13918361811,eyuan@example.org,离职,销售代表,销售部,2020-10-19,2020-11-01,
5026,黄坤,女,13440850646,yutao@example.org,在职,市场经理,市场部,2014-12-20,,
5027,刘俊,女,15915799157,guiying98@example.com,在职,HR专员,人事部,2019-10-23,,
5028,傅宇,男,18926329799,na33@example.com,在职,前端工程师,技术部,2020-08-03,,孩子继续他的通过深圳不是.
5029,张楠,女,18207065151,xiongping@example.com,离职,销售经理,销售部,2018-05-29,2019-12-15,
5030,高淑英,女,13120465674,xiuyingshao@example.com,在职,人事经理,人事部,2020-07-26,,
5031,李丽,女,14595730979,fangfan@example.net,离职,财务主管,财务部,2020-03-04,2020-07-30,
5032,辛平,男,14568455846,na65@example.org,在职,前端工程师,技术部,2019-05-17,,
